Material,Material Description,Plant,Posting Date,Movement Type,Qty in unit of entry,Unit of Entry,Base Unit of Measure
MAT-0001,Widget 0001,PL01,01.01.2026,101,130.0,EA,EA
MAT-0001,Widget 0001,PL01,05.01.2026,101,341.58,EA,EA
MAT-0001,Widget 0001,PL01,03.02.2026,101,25.57,EA,EA
MAT-0001,Widget 0001,PL01,03.02.2026,101,257.62,EA,EA
MAT-0001,Widget 0001,PL01,01.02.2026,101,360.85,EA,EA
MAT-0001,Widget 0001,PL01,23.02.2026,101,118.02,EA,EA
MAT-0001,Widget 0001,PL01,19.02.2026,101,435.96,EA,EA
MAT-0001,Widget 0001,PL01,25.02.2026,101,352.09,EA,EA
MAT-0001,Widget 0001,PL01,09.03.2026,101,479.03,EA,EA
MAT-0001,Widget 0001,PL01,11.03.2026,101,196.16,EA,EA
MAT-0001,Widget 0001,PL01,12.03.2026,101,305.83,EA,EA
MAT-0001,Widget 0001,PL01,26.03.2026,101,235.12,EA,EA
MAT-0001,Widget 0001,PL01,13.04.2026,101,153.66,EA,EA
MAT-0001,Widget 0001,PL01,21.04.2026,101,432.24,EA,EA
MAT-0001,Widget 0001,PL01,07.05.2026,101,32.45,EA,EA
MAT-0001,Widget 0001,PL01,08.05.2026,101,492.76,EA,EA
MAT-0001,Widget 0001,PL01,28.05.2026,101,59.49,EA,EA
MAT-0001,Widget 0001,PL01,09.05.2026,101,418.71,EA,EA
MAT-0001,Widget 0001,PL01,06.05.2026,101,112.66,EA,EA
MAT-0001,Widget 0001,PL01,09.05.2026,101,344.94,EA,EA
MAT-0001,Widget 0001,PL01,20.06.2026,101,271.73,EA,EA
MAT-0001,Widget 0001,PL01,08.06.2026,101,195.93,EA,EA
MAT-0001,Widget 0001,PL02,08.01.2026,101,423.0,EA,EA
MAT-0001,Widget 0001,PL02,25.01.2026,101,412.68,EA,EA
MAT-0001,Widget 0001,PL02,26.01.2026,101,141.19,EA,EA
MAT-0001,Widget 0001,PL02,07.01.2026,102,-287.92,EA,EA
MAT-0001,Widget 0001,PL02,23.01.2026,101,331.16,EA,EA
MAT-0001,Widget 0001,PL02,13.01.2026,102,-325.0,EA,EA
MAT-0001,Widget 0001,PL02,09.02.2026,101,375.04,EA,EA
MAT-0001,Widget 0001,PL02,18.02.2026,101,296.45,EA,EA
MAT-0001,Widget 0001,PL02,19.02.2026,101,117.47,EA,EA
MAT-0001,Widget 0001,PL02,17.03.2026,101,380.33,EA,EA
MAT-0001,Widget 0001,PL02,28.03.2026,101,317.45,EA,EA
MAT-0001,Widget 0001,PL02,26.03.2026,101,302.24,EA,EA
MAT-0001,Widget 0001,PL02,13.04.2026,101,239.34,EA,EA
MAT-0001,Widget 0001,PL02,09.04.2026,501,431.78,EA,EA
MAT-0001,Widget 0001,PL02,01.04.2026,101,66.13,EA,EA
MAT-0001,Widget 0001,PL02,18.04.2026,101,386.61,EA,EA
MAT-0001,Widget 0001,PL02,11.04.2026,101,223.03,EA,EA
MAT-0001,Widget 0001,PL02,01.05.2026,501,439.17,EA,EA
MAT-0001,Widget 0001,PL02,09.05.2026,501,383.36,EA,EA
MAT-0001,Widget 0001,PL02,17.05.2026,102,-436.55,EA,EA
MAT-0001,Widget 0001,PL02,10.05.2026,101,258.75,EA,EA
MAT-0001,Widget 0001,PL02,07.05.2026,101,383.63,EA,EA
MAT-0001,Widget 0001,PL02,25.06.2026,102,-460.06,EA,EA
MAT-0001,Widget 0001,PL02,20.06.2026,101,19.54,EA,EA
MAT-0001,Widget 0001,PL02,12.06.2026,102,-417.52,EA,EA
MAT-0001,Widget 0001,PL02,10.06.2026,101,128.03,EA,EA
MAT-0001,Widget 0001,PL02,19.06.2026,102,-51.97,EA,EA
MAT-0001,Widget 0001,PL02,16.06.2026,101,489.21,EA,EA
MAT-0002,Widget 0002,PL01,25.01.2026,101,333.28,EA,EA
MAT-0002,Widget 0002,PL01,18.01.2026,101,268.56,EA,EA
MAT-0002,Widget 0002,PL01,20.01.2026,101,113.78,EA,EA
MAT-0002,Widget 0002,PL01,18.01.2026,101,348.04,EA,EA
MAT-0002,Widget 0002,PL01,23.01.2026,101,497.62,EA,EA
MAT-0002,Widget 0002,PL01,21.01.2026,101,450.81,EA,EA
MAT-0002,Widget 0002,PL01,04.02.2026,101,41.37,EA,EA
MAT-0002,Widget 0002,PL01,01.02.2026,101,122.76,EA,EA
MAT-0002,Widget 0002,PL01,08.02.2026,101,356.84,EA,EA
MAT-0002,Widget 0002,PL01,02.02.2026,101,453.66,EA,EA
MAT-0002,Widget 0002,PL01,28.02.2026,101,261.94,EA,EA
MAT-0002,Widget 0002,PL01,22.03.2026,101,274.22,EA,EA
MAT-0002,Widget 0002,PL01,24.03.2026,102,-289.81,EA,EA
MAT-0002,Widget 0002,PL01,16.03.2026,101,241.76,EA,EA
MAT-0002,Widget 0002,PL01,14.03.2026,101,57.5,EA,EA
MAT-0002,Widget 0002,PL01,12.04.2026,101,238.84,EA,EA
MAT-0002,Widget 0002,PL01,24.04.2026,101,330.19,EA,EA
MAT-0002,Widget 0002,PL01,21.04.2026,101,207.28,EA,EA
MAT-0002,Widget 0002,PL01,11.04.2026,101,63.54,EA,EA
MAT-0002,Widget 0002,PL01,07.04.2026,101,229.82,EA,EA
MAT-0002,Widget 0002,PL01,06.05.2026,101,132.41,EA,EA
MAT-0002,Widget 0002,PL01,03.05.2026,101,432.06,EA,EA
MAT-0002,Widget 0002,PL01,18.05.2026,101,329.55,EA,EA
MAT-0002,Widget 0002,PL01,18.05.2026,101,484.81,EA,EA
MAT-0002,Widget 0002,PL01,25.05.2026,101,91.49,EA,EA
MAT-0002,Widget 0002,PL01,16.06.2026,101,206.51,EA,EA
MAT-0002,Widget 0002,PL01,02.06.2026,101,11.06,EA,EA
MAT-0002,Widget 0002,PL01,13.06.2026,101,394.19,EA,EA
MAT-0002,Widget 0002,PL01,15.06.2026,101,351.33,EA,EA
MAT-0002,Widget 0002,PL01,24.06.2026,501,282.33,EA,EA
MAT-0003,Widget 0003,PL01,05.01.2026,101,116.67,EA,EA
MAT-0003,Widget 0003,PL01,02.01.2026,101,275.68,EA,EA
MAT-0003,Widget 0003,PL01,24.01.2026,101,34.57,EA,EA
MAT-0003,Widget 0003,PL01,16.01.2026,101,427.83,EA,EA
MAT-0003,Widget 0003,PL01,06.01.2026,101,258.84,EA,EA
MAT-0003,Widget 0003,PL01,03.02.2026,101,340.85,EA,EA
